Id,Label
#OC,#OC
#Marjaneya,#Marjaneya
#kalytera,#kalytera
#M40,#M40
#JusticeForMarwah,#JusticeForMarwah
#NadiaKhan,#NadiaKhan
#JAYB,#JAYB
#JasminBhasin,#JasminBhasin
#Fortnite,#Fortnite
#got7radio,#got7radio
#twitch,#twitch
#Jummahmubarak,#Jummahmubarak
#TheFalconAndTheWinterSoldier,#TheFalconAndTheWinterSoldier
#FridayVibes,#FridayVibes
#Fiverr,#Fiverr
#colorclause,#colorclause
#Adiala,#Adiala
#RawalpindiCentralJail,#RawalpindiCentralJail
#Doctors,#Doctors
#justiceforsteve,#justiceforsteve
#HASHTAGS,#HASHTAGS
#ARYNewsUrdu,#ARYNewsUrdu
#EnforceTrafficLawsRigorously,#EnforceTrafficLawsRigorously
#motorayincident,#motorayincident
#breaking,#breaking
#MothersDay2021,#MothersDay2021
#BlameTheRapistOnly,#BlameTheRapistOnly
#LegendsLeagueCricket,#LegendsLeagueCricket
#moralvalues,#moralvalues
#psl7,#psl7
#54yearsofATI,#54yearsofATI
#ICCAwards,#ICCAwards
#blakillinginnocents,#blakillinginnocents
#11thhour,#11thhour
#rickshawincident,#rickshawincident
#noormuqadam,#noormuqadam
#9News,#9News
#mahfoozaurat,#mahfoozaurat
#socialvalues,#socialvalues
#boycottfrance,#boycottfrance
#psychologicalleadership,#psychologicalleadership
#mentalconditioning,#mentalconditioning
#raisingboys,#raisingboys
#hazard,#hazard
#bachakhanweek2022,#bachakhanweek2022
#MahreenSibtain,#MahreenSibtain
#GujjarPuraMotorway,#GujjarPuraMotorway
#JIKhi_WomenDharna,#JIKhi_WomenDharna
#PAKvAFG,#PAKvAFG
#AllamaKhadimHussainRizvi,#AllamaKhadimHussainRizvi
#وارثِ_مسندِ_ولایت,#وارثِ_مسندِ_ولایت
#BalochNationalistArmy,#BalochNationalistArmy
#PSL2022,#PSL2022
#MinarePakistanIncident,#MinarePakistanIncident
#StopAbbusingVulnerables,#StopAbbusingVulnerables
#PakistanMurdabad,#PakistanMurdabad
#noormukaddamincident,#noormukaddamincident
#Shiagenocide,#Shiagenocide
#metoo,#metoo
#feminism,#feminism
#auratmarch,#auratmarch
#WomensRights,#WomensRights
#cybercrime,#cybercrime
#acidattack,#acidattack
#mukhtarmai,#mukhtarmai
#goatlivesmatter,#goatlivesmatter
#zainabansari,#zainabansari
#WeNeedJustice,#WeNeedJustice
#quratulain,#quratulain
#NoorMuqadam,#NoorMuqadam
#OkaraIncident,#OkaraIncident
#thousandsolededsuns,#thousandsolededsuns
#JusticeFormariam,#JusticeFormariam
#boycottfranceproducts,#boycottfranceproducts
#Zainab,#Zainab
#JusticeForNoorMukadam,#JusticeForNoorMukadam
#death,#death
#trending,#trending
#media,#media
#jaffers,#jaffers
#noorneedjustice,#noorneedjustice
#AskerAward,#AskerAward
#islamabad,#islamabad
#isbtoday,#isbtoday
