full_text,username,screen_name,location,is_verified,quote_count,favorite_count,retweet_count,reply_count,created_at,tweet_id
"Gender affirming hormone replacement therapy is life saving. 

#HarmReduction
#GAHRT
#PubertyBlockers
#ProtectTransYouth
#TransRightsAreHumanRights
#TransLivesMatter https://t.co/RDN5gIpCyh",Connorsseur,ConnorLingus591,,False,0,0,0,0,Wed Dec 30 14:36:24 +0000 2020,1.34429e+18
"RT @UnitedHAcKtvist: #BlackTransLivesMatter
#TransLivesMatter
#BlackGayLivesMatter 
#GayLivesMatter
#BlackLivesMatter 
#LoveIsLove 
🌈🌈🌈🌈🌈
#EQUALITY 
These kind of #graffitis make my day&lt;3 https://t.co/UFleEaHRqw",⚕️,UnitedHAcKtvist,,False,0,0,0,0,Wed Dec 30 14:31:54 +0000 2020,1.34429e+18
"Transgender Lives are Human Rights ❤️
SUBSCRIBE TODAY to support transgender creators and films Now Streaming on the SVTV Network where it’s Our Lives, Our Stories, Our Way, on One Network.
#svtvnetwork #strongvoices #translivesmatter #lgbt #transgenderfilms #transgenderfilmmaker https://t.co/LKitOk7KZ6",SVTV Network,SVTVNetwork,,False,0,0,0,0,Wed Dec 30 14:18:57 +0000 2020,1.34429e+18
"RT @SceneLGBTQ: Following great interest in the Sussex &amp; Hebden #Lesbian Reintroduction Programme, we share this large gathering of Wild #Sussex Lesbian with fine summer plumage gathering for their annual Roar 🏳️‍⚧️🏳️‍🌈

#NotExtinctLesbian #brightonpride 
#LWithTheT #TransLivesMatter #dykesonbikes https://t.co/UiLJbd0S0K",Alex,calexwolf,People's Republic of Brighton,False,0,0,0,0,Wed Dec 30 14:05:13 +0000 2020,1.34428e+18
"Following great interest in the Sussex &amp; Hebden #Lesbian Reintroduction Programme, we share this large gathering of Wild #Sussex Lesbian with fine summer plumage gathering for their annual Roar 🏳️‍⚧️🏳️‍🌈

#NotExtinctLesbian #brightonpride 
#LWithTheT #TransLivesMatter #dykesonbikes https://t.co/UiLJbd0S0K",Scene Magazine,SceneLGBTQ,"Brighton & Hove, England",False,0,0,1,0,Wed Dec 30 14:03:28 +0000 2020,1.34428e+18
"#BlackLivesMatter Stay an ally! Report, support, vote, speak... USE that privilege in ""small"" &amp; big ways.  #TransLivesMatter #feminist #MeToo #FirstNations #liberalAgenda #climatechange #PoliceBrutality &lt;-- This is NOT ""done"" at the change (2/3)","Beth (she/her, #ally)",BethBakerRS,"Massachusetts, USA",False,0,0,0,1,Wed Dec 30 11:34:24 +0000 2020,1.34425e+18
📷 Have a Wonderful Wednesday y'all! #NoFilter . Black Lives Matter! . . . . . . . #GirlGeek #NerdGirl #asexual #AsexualPride #grayasexual #Demisexual #TransLivesMatter #ProtectTransKids #pride #lgbtq #transpride #WLW #Transbian #girlslikeus... https://t.co/iOLPV3zmS7,🏳️‍⚧️ Justice Dazzle 🖤🤍💜,justicedazzle,"Schenectady, NY",False,0,0,0,0,Wed Dec 30 11:32:56 +0000 2020,1.34425e+18
"RT @translashmedia: This year, 41 transgender or gender non-conforming people (that we know of) were fatally shot or violently killed across the country. That’s up from 25 people in 2019. #TransLivesMatter #BlackTransLivesMatter #TransLash 
https://t.co/LwrGQmUQ8h",Meghan,0x0ddc0ffee,Duwamish land,False,0,0,0,0,Wed Dec 30 11:19:13 +0000 2020,1.34424e+18
"@LGBTfdn @LGBTEqCaucus Remember, regardless of your religious beliefs, how many idols you whorship, or how many sprirts you praise, we are all human beings. #TransLivesMatter   https://t.co/rahbb0x2Sl",Data Scientist,codeitupnow,,False,0,0,0,0,Wed Dec 30 10:29:35 +0000 2020,1.34423e+18
"RT @MikeBrooklyn: New Episode!
Guest Co Host: Chris from Men Like Us Podcast
#relationships #petpeeves #toowongfoo #mjrodriguez #PoseFX #saturdaychurch #transamorous #TransRightsAreHumanRights #TransLivesMatter #podcasts #PodernFamily 
https://t.co/XPAT5ycTC0",Droozin RPG,DroozinRPG,Not an actual person,False,0,0,0,0,Wed Dec 30 10:24:17 +0000 2020,1.34423e+18
What was the best thing that happened to you this year? Comment down and I’ll send you a little treat in your DMs😈 #trans #TransLivesMatter #transgender #transgirl https://t.co/GFQ65ypQNi,Fia,so_fiaxoxo,United Kingdom,False,1,1,4,8,Wed Dec 30 09:50:20 +0000 2020,1.34422e+18
"It’s nice to hear from voices of reason, hope and love, on twitter. 🥰 #TransLivesMatter  https://t.co/DIDpzIJRIl # via @HuffPost",Mangagaga,JasonLeeHR,"Berlin, Germany",False,0,0,0,0,Wed Dec 30 09:48:39 +0000 2020,1.34422e+18
"RT @MikeBrooklyn: New Episode!
Guest Co Host: Chris from Men Like Us Podcast
#relationships #petpeeves #toowongfoo #mjrodriguez #PoseFX #saturdaychurch #transamorous #TransRightsAreHumanRights #TransLivesMatter #podcasts #PodernFamily 
https://t.co/XPAT5ycTC0",Lime Link,lime_link,,False,0,0,0,0,Wed Dec 30 09:00:07 +0000 2020,1.34421e+18
"RT @MikeBrooklyn: New Episode!
Guest Co Host: Chris from Men Like Us Podcast
#relationships #petpeeves #toowongfoo #mjrodriguez #PoseFX #saturdaychurch #transamorous #TransRightsAreHumanRights #TransLivesMatter #podcasts #PodernFamily 
https://t.co/XPAT5ycTC0",The Eudaimonia Podcast,EudaimoniaCast,Ireland,False,0,0,0,0,Wed Dec 30 08:32:06 +0000 2020,1.3442e+18
"Angel Lama Sashays creates history by becoming the first #Transgender woman to make it to the finals of the prestigious #MissUniverse (Nepal) beauty contest. The grand finale of the beauty pageant will take place tomorrow.

#Nepal #TransLivesMatter #LGBTQ https://t.co/lm5x4JA9aV",Asia & World News,AsiaWorldNews4u,ASIA,False,0,0,0,0,Wed Dec 30 06:39:09 +0000 2020,1.34417e+18
Check out Power Crystal! Available via @Teespring: https://t.co/iNSLS522sw and link in bio! #powercrystal #crystallove #powercrystals #spiritualawakening #mindfulness #quartz #lawofattraction #crystals #clearquartz #pagan #healing #crystalhealing  #crystal #translivesmatter #PMA,You're neat.¹³¹²,___ENDPOINT,,False,0,0,0,0,Wed Dec 30 05:38:41 +0000 2020,1.34416e+18
"New Episode!
Guest Co Host: Chris from Men Like Us Podcast
#relationships #petpeeves #toowongfoo #mjrodriguez #PoseFX #saturdaychurch #transamorous #TransRightsAreHumanRights #TransLivesMatter #podcasts #PodernFamily 
https://t.co/XPAT5ycTC0",Mike Brooklyn,MikeBrooklyn,,False,0,0,5,0,Wed Dec 30 05:34:02 +0000 2020,1.34415e+18
"Guest Co Host: Amber M.
#PoseFX #MjRodriguez #IndyaMoore #DomoniqueJackson #AngelicaRoss #HailieSahar #AlexiaGarcia #BillyPorter #RyanJamalSwain #DyllonBurnside #AngelCuriel #ChristopherMeloni #Vogue #TransLivesMatter #LGBTQ #podcasts
#HouseofEvangelista
https://t.co/9IP1tZg5sk",Mike Brooklyn,MikeBrooklyn,,False,0,0,2,0,Wed Dec 30 05:30:56 +0000 2020,1.34415e+18
